dimensi;2018;2019;2020;2021
3;93.1;94.8;96.5;96.4
3;84;86.6;88.3;88
3;84;86.3;87.4;88.2
3;94;95.7;96.2;96.8
3;85;87;88.5;88.7
3;71.5;73.5;76.8;79.4
3;75.1;74.6;77.3;78.6
3;69.3;71.3;73.6;75.4
3;70.8;73;75.8;78.9
3;83.5;86.4;87.3;87.8
3;85.6;82.6;85.8;83.3
3;84;86.6;87.9;88.3
3;76.4;77.7;79.6;82.3
3;86.3;88.6;89.9;91.4
3;81;84.7;87.4;88.8
3;79;84.4;84.9;86.6
3;69.7;72.4;74.9;79.2
3;81.2;80.4;83.4;85
3;77;78.8;81.4;82.9
3;79.6;79.1;79.1;79.8
3;49.8;49.6;51.5;52.9
4;85.6;84.4;85.7;88.5
4;90.5;92;88.8;89.5
4;90.9;91.9;90.2;90
4;84;86.2;84.7;82.3
4;83.3;85.1;84.8;84.6
4;81.9;84.9;83.7;88.6
4;85.5;87.2;87.1;85.6
4;79.8;82.5;79.7;82.9
4;83.2;86.9;84.4;81.6
4;92.7;93.2;89.9;87.1
4;97.6;97.6;96.8;96.3
4;93.7;93.9;93.5;92.6
4;81.3;80.7;80.3;79.4
4;85.5;87.8;83.5;83
4;87.7;87.6;85.7;84.8
4;95.1;96.5;96.5;95.3
4;95.5;95.2;93.3;87.6
4;90.1;95.4;95;97
4;77.7;76.6;78.1;80.3
4;68.9;68.2;66.8;67.3
4;85.5;84.4;83.2;85.2
4;95.6;95.8;95.5;95.4
4;83.1;88.4;86.3;79.1
4;81.6;83.2;79.8;78.8
4;94.8;93.4;92.5;88.5
4;88.4;86;85.2;82.3
4;89.7;87.3;83.1;86.8
4;88.2;85.4;83.2;81.4
4;80.8;87.1;82.8;75.3
4;83;88.7;84.7;82
4;43.2;43.3;40.8;50.6
4;48.9;40.5;40.9;51.9
4;64.8;68;61.5;59
4;36.1;36.4;47.5;37.7
5;35.3;35.3;32.5;36.3
5;27;25.9;27.2;25
5;33.6;33.8;33.2;30.6
5;32.6;28.6;28.5;26.3
5;35.2;33.5;36.6;34
5;28.3;27.2;29.2;26.9
5;32;31;31.6;29.5
5;36.9;37.1;39;36.1
5;40.1;36.6;37.6;35.5
5;31.5;32.1;33.6;31
5;44.2;47.9;43.8;40.8
5;39.9;39.1;39.4;36.7
5;55.3;54.1;55.8;52.6
5;77.6;75.3;75;72
5;63.2;61.9;62.5;59.3
5;33.1;31.6;33.8;30.6
5;39.4;35.9;35.3;33
5;44.8;47;47.2;45.6
5;36.2;34.3;36.4;36.2
5;25;23.2;25.2;24.1
5;42.1;39.1;41.4;39.8
5;52.5;47;50.8;48.7
5;35.8;32.8;31.9;28.9
5;36.4;33.5;38.8;36.1
5;35.3;34.1;36.5;33.8
5;46.4;41.8;43.8;41.2
5;35.7;33;35.3;32.7
5;34.6;38.5;38.5;36.3
5;55.8;55;53.9;55.8
5;47.3;46;47.1;48.2
5;34.2;32.7;38;35.4
5;39.2;42.5;42.1;43.1
5;30.4;31;29.4;27.4
5;14.6;13;12.7;11.7
6;95.7;88.9;72.8;72.6
6;57.8;51.2;47;45.2
6;60.8;56.9;52.3;51.5
6;52.4;48.5;44.7;43.8
6;53.6;46.6;36.9;35
6;72.3;51.9;44.7;45.3
6;63;55.2;52.2;53.3
6;68.4;60.5;56.4;58.4
6;47.6;43.3;42.6;44.9
6;44.7;44;47.9;44.3
6;46.9;47.4;48.6;51.6
6;68.3;49.7;47.7;48.8
6;73.9;58.8;58.3;60.8
6;80.5;69.3;68.3;72.3
6;66.6;51.3;52.9;54.9
6;62.8;56.9;46;45.8
6;49;49.6;51.2;54.1
6;75.4;68.6;55.6;56.5
6;72.9;71.7;61.2;61.6
6;48.5;48.1;42.3;46.8
6;44.6;37.2;40.3;40
6;56.7;57.4;50.7;49.1
6;51.7;48.6;49;47.6
6;58.5;57.7;54.5;55.8
6;69.2;64.1;57.9;57.4
6;68.2;65.2;54.3;53.4
6;66.9;62;57.2;61
6;70.5;63.5;57.4;62.7
6;77.9;69.2;69.1;68
6;83.9;78.2;63.3;68.2
6;75.1;63.9;50.2;48.9
6;63;54.3;44.1;45.3
6;71.9;73.7;49.5;51.1
6;76.7;67.4;47.1;49.2
